1,カラス,Crow,0,女の子,2,ね,タグ,タグ,Null
2,ウサギ,Rabbit,0,女の子,2,ぇ,タグ,タグ,Null
3,オオカミ,Wolf,0,女の子,2,、,タグ,タグ,Null
4,キリン,Giraffe,0,女の子,2,君,タグ,タグ,Null
5,ネコ,Cat,0,女の子,2,は,タグ,タグ,Null
6,ネズミ,Mouse,0,女の子,2,な,タグ,タグ,Null
7,リス,Squirrel,0,女の子,2,に,タグ,タグ,Null
8,コウモリ,Bat,0,女の子,2,が,タグ,タグ,Null
9,ワニ,Crocodile,0,女の子,2,し,タグ,タグ,Null
10,ゾウ,Elephant,0,女の子,2,た,タグ,タグ,Null
11,カエル,Frog,0,女の子,2,い,タグ,タグ,Null
12,ハリネズミ,Headgehog,0,女の子,2,？,タグ,タグ,Null
13,ウマ,Horse,0,女の子,2,誰,タグ,タグ,Null
14,ライオン,Lion,0,女の子,2,か,タグ,タグ,Null
15,モグラ,Mole,0,女の子,2,の,タグ,タグ,Null
16,パンダ,Panda,0,女の子,2,背,タグ,タグ,Null
17,ハクチョウ,Swan,0,女の子,2,中,タグ,タグ,Null
18,カメ,Turtle,0,女の子,2,を、,タグ,タグ,Null
19,トラ,Tiger,0,女の子,2,押す,タグ,タグ,Null
20,ヒツジ,Sheep,0,女の子,2,ために,タグ,タグ,Null
